1000 2470
5 6 63
13 1 94
0 18 967
18 1 51
16 25 87
13 41 1
16 43 70
41 45 86
13 46 22
47 4 38
12 51 87
13 58 12
56 63 4
28 66 90
69 12 99
13 69 89
71 9 15
73 24 18
69 76 68
78 7 95
78 38 89
43 85 78
10 86 83
87 11 48
88 15 32
69 89 67
23 92 42
61 92 15
46 95 90
95 87 86
14 99 2
39 99 5
85 101 53
107 104 6
71 111 33
95 111 3
115 36 44
118 65 85
122 101 35
122 124 7
127 41 1
127 65 85
128 32 52
54 128 60
135 126 83
135 132 41
109 137 79
138 103 29
139 34 54
139 121 51
140 111 18
55 141 93
141 101 54
141 110 96
89 142 91
143 2 69
143 77 90
144 26 76
144 95 37
145 128 88
145 129 72
87 147 13
147 117 71
148 53 74
148 122 94
59 150 3
150 71 21
150 112 18
151 105 25
154 26 48
155 13 15
45 156 21
4 157 76
44 157 72
157 92 26
55 158 59
92 159 8
159 117 72
159 131 80
160 2 40
160 96 80
161 45 8
148 161 11
29 162 30
60 163 67
163 81 12
139 165 38
74 166 42
167 87 69
109 168 50
160 169 75
21 172 84
172 74 13
1 173 89
71 175 36
175 121 86
22 176 56
90 176 88
114 176 93
82 177 7
179 62 58
67 180 17
148 181 68
150 181 54
184 59 63
184 83 22
185 64 99
187 48 76
187 173 73
172 188 9
67 189 26
189 127 54
107 192 74
192 115 84
5 194 84
194 175 66
58 195 55
77 196 17
198 95 56
198 189 81
24 199 3
200 7 3
57 200 11
84 200 67
11 201 18
202 130 19
177 202 73
204 96 93
152 204 54
182 204 19
205 72 34
205 86 44
206 19 34
128 207 2
81 208 18
153 208 89
179 209 54
12 210 18
210 170 27
211 75 41
211 196 8
56 212 94
213 26 29
213 102 27
36 215 85
194 215 45
207 216 50
12 217 96
17 218 44
82 220 98
135 220 66
222 58 57
222 79 92
222 147 66
13 223 26
223 93 64
223 175 15
212 223 72
224 45 89
187 225 20
227 149 44
228 195 18
229 193 41
230 56 86
230 167 10
231 217 21
222 231 19
232 36 20
188 232 17
72 233 87
83 233 79
137 236 63
237 79 85
47 239 36
84 239 67
240 97 61
241 104 97
110 245 39
135 246 54
4 247 46
247 150 74
158 247 43
247 227 11
178 248 8
250 231 19
153 251 43
197 251 64
183 252 34
252 239 60
255 231 59
256 96 34
256 118 81
58 260 27
91 260 91
260 196 85
260 229 29
263 110 99
134 264 87
264 150 31
154 265 51
142 266 61
92 267 97
269 165 30
173 269 35
112 270 80
271 268 89
272 265 59
5 273 80
273 224 40
49 275 50
275 125 40
207 275 90
26 276 59
277 115 10
256 277 5
15 280 80
280 72 40
74 281 65
281 127 97
281 128 98
281 146 72
283 118 28
174 283 12
226 284 64
165 285 90
194 285 46
201 285 73
286 134 93
286 213 92
250 286 28
170 290 90
290 257 66
284 292 92
292 291 15
293 195 51
293 265 42
294 174 50
2 295 80
145 295 98
213 295 40
295 282 34
295 285 10
265 297 67
298 60 5
298 72 58
88 298 14
298 221 87
299 124 3
303 25 41
251 304 48
12 305 16
229 305 34
306 63 28
309 78 38
310 57 82
272 310 38
206 311 2
75 312 76
314 90 24
317 14 84
31 317 98
65 317 86
111 317 40
317 123 30
317 280 2
86 318 57
318 117 57
2 319 49
184 320 87
263 320 11
321 88 18
323 124 63
171 324 65
324 197 90
324 240 20
137 326 8
14 327 17
105 328 36
98 329 92
329 312 49
330 217 53
321 331 22
333 8 33
315 333 65
48 334 43
68 334 58
296 334 45
334 333 53
335 53 75
335 111 79
246 335 91
275 335 93
336 49 73
338 81 96
211 338 4
339 277 17
340 174 67
341 164 46
341 247 61
341 301 12
253 342 18
319 342 80
121 343 34
209 343 11
343 302 38
55 344 72
344 116 24
344 335 86
345 164 42
218 345 32
228 345 4
330 345 48
234 346 52
346 239 67
54 347 24
159 349 37
350 135 62
188 350 96
350 235 34
268 350 36
351 56 8
353 92 13
321 353 85
354 144 7
285 354 51
293 355 30
306 355 99
356 239 11
257 356 14
113 358 47
28 359 51
359 103 60
359 303 76
362 154 52
362 335 4
363 103 4
363 300 60
364 38 62
172 364 81
325 364 88
148 365 29
365 206 14
365 221 53
366 273 40
367 243 21
257 367 62
368 211 76
368 273 26
369 79 7
141 369 5
327 369 97
72 371 96
121 371 67
371 138 21
212 372 92
151 373 63
373 157 40
375 248 70
375 347 56
376 38 34
81 376 6
376 265 23
299 376 41
376 340 88
206 377 18
308 377 96
377 360 28
22 378 19
293 379 52
380 355 48
381 260 69
381 262 43
382 115 63
382 303 98
383 47 44
348 383 42
386 177 7
387 204 34
388 22 64
389 41 64
160 390 20
257 390 52
391 94 8
366 391 86
392 110 81
261 392 5
392 276 97
392 347 78
33 393 83
393 240 25
394 74 16
394 84 27
102 394 57
141 394 73
105 395 11
23 396 27
396 31 34
396 239 45
396 342 32
150 397 64
397 342 10
399 39 3
193 399 19
399 385 8
400 134 95
204 400 16
347 400 74
401 20 34
401 83 59
401 206 15
402 171 58
402 183 40
112 403 5
160 404 38
404 192 88
381 406 3
360 407 90
380 407 50
173 408 44
21 409 60
81 409 84
260 409 43
409 293 85
409 326 15
410 52 67
172 410 71
412 177 4
412 255 79
271 412 83
300 413 57
414 60 97
414 283 69
416 181 61
416 329 89
418 39 7
256 418 31
418 302 79
156 419 66
398 420 61
62 421 17
95 421 67
216 421 74
421 374 2
421 377 17
422 108 60
156 422 24
422 277 40
402 422 56
423 98 85
423 249 73
273 424 63
424 297 59
425 34 4
288 425 63
392 425 1
426 15 11
426 285 52
426 305 44
38 427 3
87 427 41
169 427 58
427 195 39
423 427 72
1 428 50
428 79 86
240 428 16
428 252 35
429 379 5
430 177 19
248 430 77
430 302 90
431 49 62
432 238 62
434 80 7
0 435 27
436 145 87
343 437 76
438 20 41
135 438 32
438 201 6
293 438 17
77 439 43
439 175 23
439 314 40
440 21 80
440 357 35
401 440 22
105 441 41
108 441 64
441 161 93
343 441 87
393 442 62
443 327 35
443 398 80
444 384 16
445 3 98
445 91 90
446 266 35
446 288 34
334 446 77
379 446 78
335 447 23
447 387 37
160 448 61
200 448 37
302 449 98
450 49 80
450 250 17
358 450 77
453 89 28
453 199 71
256 453 91
453 355 57
453 443 99
433 454 92
455 93 37
455 177 45
201 455 77
455 206 1
455 393 39
208 456 30
400 457 14
142 458 87
274 458 72
460 193 41
460 417 66
39 461 63
461 100 40
175 461 64
192 461 26
461 242 48
461 381 8
57 462 15
462 92 98
195 462 47
463 187 77
463 231 80
463 281 87
269 464 69
464 327 44
371 464 34
409 464 31
182 465 9
237 465 43
258 465 5
370 465 74
466 189 16
467 46 77
467 328 88
468 255 92
403 468 4
468 418 73
469 307 75
348 469 10
469 463 94
129 470 77
470 351 4
424 470 96
173 471 57
471 460 54
99 472 8
168 473 68
317 473 26
473 347 80
364 474 20
218 475 79
232 476 90
479 148 14
479 238 4
479 294 5
479 334 61
480 145 98
480 158 28
480 251 98
480 354 3
363 480 20
481 128 7
481 288 74
482 323 94
483 50 43
483 85 86
483 438 82
446 483 57
93 484 50
484 255 39
313 484 28
368 484 8
174 486 53
234 487 52
487 370 40
487 374 18
431 487 74
488 255 29
446 488 78
56 489 71
61 491 99
491 308 7
38 492 36
492 48 33
208 492 18
214 492 39
387 492 12
492 473 80
493 255 15
432 493 75
150 494 84
262 494 77
494 274 61
399 495 92
406 496 27
496 444 29
497 31 89
497 83 83
432 497 74
483 497 74
498 239 10
469 498 38
195 499 3
499 202 4
359 499 96
499 395 82
32 500 40
338 500 23
500 357 3
501 89 75
501 182 57
501 353 62
501 387 49
170 502 85
502 214 67
503 454 96
504 24 2
171 504 36
235 504 58
337 504 18
505 29 95
36 505 9
505 148 78
327 505 55
506 409 42
506 442 63
507 8 84
507 269 16
302 507 19
508 312 48
300 510 13
510 304 68
3 511 63
511 157 38
511 191 62
259 511 2
512 11 6
512 171 23
512 293 53
513 327 94
513 427 22
513 481 83
513 497 72
514 91 39
514 267 68
427 514 81
514 497 60
515 10 55
515 16 35
515 95 74
121 515 79
216 515 22
515 366 60
55 516 84
516 96 53
124 516 64
171 516 66
516 333 72
416 516 56
517 99 70
517 216 40
517 502 34
519 178 75
519 205 75
334 520 82
66 521 91
72 521 62
203 521 28
521 373 2
449 521 88
12 522 91
5 523 31
272 524 11
525 67 78
81 525 36
525 146 31
525 249 59
291 527 46
527 523 59
528 9 71
102 528 12
395 528 9
482 528 76
163 530 65
212 530 13
530 257 71
56 531 63
92 531 57
171 531 24
187 531 94
385 531 82
439 531 47
497 531 49
532 15 90
87 532 88
123 532 92
532 149 67
235 532 99
384 532 91
221 533 8
390 533 42
407 533 45
533 441 65
534 51 52
68 535 63
209 535 98
74 537 33
537 173 33
228 537 13
537 243 10
537 471 95
538 1 80
538 419 77
0 539 37
539 141 62
539 348 79
539 364 67
416 539 54
255 540 76
540 334 83
448 540 88
540 512 96
541 76 68
541 138 75
542 29 26
542 324 13
493 542 69
536 542 61
543 86 33
211 543 1
543 538 63
544 12 83
34 544 96
38 544 96
208 544 71
544 262 38
283 544 53
255 545 48
358 545 86
69 546 7
546 302 72
358 546 33
467 547 38
361 548 49
549 206 3
550 265 27
100 551 23
551 192 71
259 551 13
551 328 44
485 551 54
502 551 69
235 553 54
553 261 92
398 554 97
555 163 47
555 230 88
328 555 35
208 556 18
231 556 33
330 556 22
557 318 5
83 558 68
356 558 87
559 42 71
215 559 50
28 560 11
560 144 43
560 229 34
291 560 37
353 560 58
561 25 82
479 561 54
477 562 58
562 490 79
563 245 41
273 563 10
563 330 91
563 445 49
563 452 94
564 93 14
564 354 48
565 266 73
565 333 25
262 566 18
567 61 72
567 413 43
568 41 16
568 50 25
95 568 52
568 161 78
568 240 2
569 155 66
569 361 60
135 570 34
221 570 99
570 328 64
428 570 99
570 513 77
570 539 86
571 189 20
356 571 14
571 397 29
524 571 93
572 101 78
184 572 14
557 572 44
30 573 67
573 42 83
573 254 41
573 278 16
573 364 30
378 573 92
269 574 59
428 574 83
430 574 18
574 433 33
574 553 46
575 421 30
248 576 28
275 576 4
576 431 22
433 576 89
576 447 88
74 578 55
578 282 19
578 291 83
578 393 48
578 428 57
65 579 33
579 96 34
579 158 74
432 579 46
323 580 50
376 580 12
430 580 87
454 581 29
581 518 51
18 582 15
582 210 20
582 236 86
582 547 76
114 583 78
240 583 54
584 72 38
584 301 8
584 452 41
585 28 69
585 171 94
585 266 76
136 586 43
586 245 91
586 375 62
359 587 63
370 587 92
557 587 3
588 55 33
588 76 72
588 205 33
495 588 97
152 589 33
589 155 49
123 590 3
590 268 81
591 150 49
227 591 49
80 592 20
592 308 28
401 592 99
592 509 17
592 559 50
593 136 6
152 593 32
34 594 60
67 594 34
594 117 4
594 268 66
594 314 77
230 595 68
406 595 57
596 112 52
596 305 14
596 551 96
597 267 84
193 598 53
292 598 34
353 598 15
425 598 89
537 598 62
599 77 16
599 231 41
599 276 41
599 298 29
599 304 86
425 599 85
599 547 60
600 58 71
72 600 1
600 164 58
600 259 41
600 325 75
600 353 69
600 390 68
600 492 66
600 551 31
601 56 11
541 601 85
566 601 2
602 193 92
602 246 79
603 356 4
394 603 12
27 604 71
605 56 96
605 137 14
606 135 76
305 606 33
606 374 92
606 575 85
196 607 40
513 607 39
608 27 68
608 59 15
102 608 52
608 129 29
608 310 94
405 608 82
16 609 8
43 609 19
389 609 44
610 227 98
275 610 98
325 610 86
610 490 20
151 611 47
247 611 18
378 611 52
611 408 71
611 459 12
545 611 9
612 255 74
613 405 25
483 613 63
614 607 55
616 327 34
617 71 37
246 617 38
617 346 95
361 617 81
430 617 55
617 470 16
271 618 76
507 618 73
618 530 11
619 136 76
295 619 6
619 450 75
416 621 12
621 579 11
621 610 51
622 26 48
622 109 99
162 623 19
623 464 99
27 624 5
131 624 31
225 624 51
244 624 74
624 447 14
